[2026-01-26 11:55:02.971] [info]  Listening to 1 MessagePort(s) for renderer 4 (https://www.notion.so/?loadOrigin=new_tab&tabCount=0)
[2026-01-26 11:55:02.996] [info]  Listening to 1 MessagePort(s) for renderer 3 (https://www.notion.so/blank?tabCount=0)
[2026-01-26 11:55:02.998] [info]  Enabling corruption repair
[2026-01-26 11:55:03.185] [info]  Enabling corruption repair
[2026-01-26 11:55:03.620] [info]  Enabling corruption repair
[2026-01-26 11:55:03.784] [info]  Enabling corruption repair
[2026-01-26 11:56:04.421] [info]  Listening to 1 MessagePort(s) for renderer 4 (https://www.notion.so/oauth2callback?state=eyJjYWxsYmFja1R5cGUiOiJuYXRpdmVyZWRpcmVjdCIsImVuY3J5cHRlZFRva2VuIjoidjAyOmxvZ2luX3dpdGhfZ29vZ2xlOjBPZkZ6bmZKS3JQYUlvOVY1ZjhpTi1yd0c1QmNoZnBHeW9faVhTeVJaWnhPVmNoMnhBMHVvbVJleFk0bTVfOG9waXhmN0lrN25wUmJCU21KU2ZlOFhkQzZZMUFMNVd2ZDZVSW5Lb0NENGQxTmFvY09CWTlFMDl3b3dUdlU1c3Fsbkx1aCJ9&code=4%2F0ASc3gC18TQiBwlvKwFFkhyNdUP8Vl3wclpOLD-daPxo7ztv4j9qrdKpHlrCby8Avzk-6EA&scope=email%20profile%20openid%20https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email%20https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.profile&authuser=0&prompt=none&cs_completed=true&di=2771fc4e8de74e5dace1d362fbaff855&loadOrigin=refresh_all_ipc&tabCount=1)
[2026-01-26 11:56:04.747] [info]  Enabling corruption repair
[2026-01-26 11:56:11.744] [info]  Listening to 1 MessagePort(s) for renderer 3 (https://www.notion.so/blank?tabCount=0&loadOrigin=service_worker_change)
[2026-01-26 11:56:11.877] [info]  Enabling corruption repair
[2026-01-26 11:56:12.261] [info]  Enabling corruption repair
[2026-01-26 11:56:12.326] [info]  Listening to 1 MessagePort(s) for renderer 4 (https://www.notion.so/Bucket-List-110448524476802cb94ecf9f9a50da0a?pvs=3&loadOrigin=service_worker_change)
[2026-01-26 11:56:12.327] [info]  Enabling corruption repair
[2026-01-26 11:56:12.885] [info]  Enabling corruption repair
[2026-01-26 12:55:12.061] [info]  Listening to 1 MessagePort(s) for renderer 6 (https://www.notion.so/quick-search)
[2026-01-26 12:55:12.063] [info]  Enabling corruption repair
[2026-01-26 12:55:12.600] [info]  Enabling corruption repair
[2026-01-26 17:18:15.806] [info]  Listening to 1 MessagePort(s) for renderer 5 (https://www.notion.so/quick-search)
[2026-01-26 17:18:15.818] [info]  Enabling corruption repair
[2026-01-26 17:18:15.855] [info]  Listening to 1 MessagePort(s) for renderer 3 (https://www.notion.so/UI-Frontend-Development-Pt-2-18044852447681fca274f1c7947d333e?loadOrigin=new_tab_on_restore&tabCount=0)
[2026-01-26 17:18:15.862] [info]  Enabling corruption repair
[2026-01-26 17:18:16.004] [info]  Listening to 1 MessagePort(s) for renderer 6 (https://www.notion.so/blank?tabCount=1)
[2026-01-26 17:18:16.024] [info]  Enabling corruption repair
[2026-01-26 17:18:16.500] [info]  Enabling corruption repair
[2026-01-26 17:18:16.780] [info]  Enabling corruption repair
[2026-01-26 17:18:17.971] [info]  Enabling corruption repair
[2026-01-27 06:03:14.372] [info]  Listening to 1 MessagePort(s) for renderer 3 (https://www.notion.so/Music-app-110448524476802cb94ecf9f9a50da0a?loadOrigin=new_tab_on_restore&tabCount=0)
[2026-01-27 06:03:14.395] [info]  Enabling corruption repair
[2026-01-27 06:03:14.434] [info]  Listening to 1 MessagePort(s) for renderer 5 (https://www.notion.so/quick-search)
[2026-01-27 06:03:14.444] [info]  Enabling corruption repair
[2026-01-27 06:03:14.559] [info]  Listening to 1 MessagePort(s) for renderer 6 (https://www.notion.so/blank?tabCount=1)
[2026-01-27 06:03:14.593] [info]  Enabling corruption repair
[2026-01-27 06:03:15.042] [info]  Enabling corruption repair
[2026-01-27 06:03:15.139] [info]  Enabling corruption repair
[2026-01-27 06:03:15.319] [info]  Enabling corruption repair
