[2026-01-17 20:21:41.396] [info]  DiscordSplash.signalReady
[2026-01-17 20:21:41.433] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2026-01-17 20:21:41.433] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2026-01-17 20:21:41.434] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2026-01-17 20:21:41.435] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2026-01-17 20:21:41.435] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2026-01-17 20:21:41.435] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2026-01-17 20:21:41.435] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2026-01-17 20:21:41.435] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2026-01-17 20:21:41.436] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2026-01-17 20:21:41.436] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2026-01-17 20:21:41.436] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2026-01-17 20:21:41.436] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2026-01-17 20:21:41.436] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2026-01-17 20:21:41.436] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2026-01-17 20:21:42.399] [info]  Splash.updateCountdownSeconds: undefined
[2026-01-17 20:21:42.491] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2026-01-17 20:21:42.491] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2026-01-17 20:21:43.247] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2026-01-17 20:21:43.247] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2026-01-17 20:21:43.263] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2026-01-17 20:21:43.263] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2026-01-17 20:21:43.293] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2026-01-17 20:21:43.293] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2026-01-17 20:21:43.296] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2026-01-17 20:21:43.296] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2026-01-17 20:21:43.307] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2026-01-17 20:21:43.307] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2026-01-17 20:21:43.315] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2026-01-17 20:21:43.315] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2026-01-17 20:21:43.322] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2026-01-17 20:21:43.322] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2026-01-17 20:21:43.345] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2026-01-17 20:21:43.345] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2026-01-17 20:21:43.349] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2026-01-17 20:21:43.349] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2026-01-17 20:21:43.355] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2026-01-17 20:21:43.355] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2026-01-17 20:21:43.365] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2026-01-17 20:21:43.365] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2026-01-17 20:21:43.372] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2026-01-17 20:21:43.372] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2026-01-17 20:21:43.376] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
[2026-01-17 20:21:43.376] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
[2026-01-17 20:21:43.384] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":16}
[2026-01-17 20:21:43.384] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":16}
[2026-01-17 20:21:43.395] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":17}
[2026-01-17 20:21:43.396] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":17}
[2026-01-17 20:21:43.396] [info]  Splash.updateCountdownSeconds: undefined
[2026-01-17 20:21:43.402] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":18}
[2026-01-17 20:21:43.403] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":18}
[2026-01-17 20:21:43.411] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":19}
[2026-01-17 20:21:43.411] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":19}
[2026-01-17 20:21:43.418] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":20}
[2026-01-17 20:21:43.418] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":20}
[2026-01-17 20:21:43.420] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":21}
[2026-01-17 20:21:43.420] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":21}
[2026-01-17 20:21:43.432] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":22}
[2026-01-17 20:21:43.432] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":22}
[2026-01-17 20:21:43.434] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":23}
[2026-01-17 20:21:43.434] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":23}
[2026-01-17 20:21:43.441] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":24}
[2026-01-17 20:21:43.441] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":24}
[2026-01-17 20:21:43.445] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":25}
[2026-01-17 20:21:43.445] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":25}
[2026-01-17 20:21:43.450] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":26}
[2026-01-17 20:21:43.450] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":26}
[2026-01-17 20:21:43.453] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":27}
[2026-01-17 20:21:43.453] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":27}
[2026-01-17 20:21:43.455] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":28}
[2026-01-17 20:21:43.455] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":28}
[2026-01-17 20:21:43.461] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":29}
[2026-01-17 20:21:43.461] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":29}
[2026-01-17 20:21:43.465] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":30}
[2026-01-17 20:21:43.465] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":30}
[2026-01-17 20:21:43.468] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":31}
