[2/9/2026, 8:10:38 PM]:[INFO] - [wm] already signed in?,false
[2/9/2026, 8:10:40 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setLocales
undefined
undefined
[2/9/2026, 8:10:56 PM]:[ERROR] - uncaughtException: ,{"name":"TypeError","message":"Cannot read properties of undefined (reading 'focus')","stack":"TypeError: Cannot read properties of undefined (reading 'focus')\n    at registeredCancelCallbackMap.focusLastWindow (/opt/figma-linux/resources/app.asar/main/main.js:1:51538)\n    at App.emit (node:events:518:28)\n    at new menuManager (/opt/figma-linux/resources/app.asar/main/main.js:1:45733)\n    at Object.<anonymous> (/opt/figma-linux/resources/app.asar/main/main.js:1:45486)\n    at Module._compile (node:internal/modules/cjs/loader:1391:14)\n    at Module._extensions..js (node:internal/modules/cjs/loader:1451:10)\n    at Module.load (node:internal/modules/cjs/loader:1214:32)\n    at Module._load (node:internal/modules/cjs/loader:1030:12)\n    at c._load (node:electron/js2c/node_init:2:13672)\n    at node:electron/js2c/browser_init:2:125815"}
[2/9/2026, 8:11:01 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,initLivegraph
[2/9/2026, 8:11:01 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setThemePreference
[2/9/2026, 8:11:01 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setLocales
[2/9/2026, 8:11:01 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,getKeyboardLayout
[2/9/2026, 8:11:01 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,getActiveNSScreens
[2/9/2026, 8:11:01 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setTabColor
[2/9/2026, 8:11:05 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,initLivegraph
[2/9/2026, 8:11:05 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setThemePreference
[2/9/2026, 8:11:06 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setLocales
[2/9/2026, 8:11:06 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,getKeyboardLayout
[2/9/2026, 8:11:06 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,getActiveNSScreens
[2/9/2026, 8:11:06 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setTabColor
[2/9/2026, 8:11:23 PM]:[INFO] - [wm] already signed in?,true
[2/9/2026, 8:11:26 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,initLivegraph
[2/9/2026, 8:11:26 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setThemePreference
[2/9/2026, 8:11:26 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setLocales
[2/9/2026, 8:11:26 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,getKeyboardLayout
[2/9/2026, 8:11:27 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,getActiveNSScreens
[2/9/2026, 8:11:28 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,initLivegraph
[2/9/2026, 8:11:28 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setThemePreference
[2/9/2026, 8:11:29 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setLocales
[2/9/2026, 8:11:29 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,getKeyboardLayout
[2/9/2026, 8:11:29 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,getActiveNSScreens
[2/9/2026, 8:11:29 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setTabColor
[2/9/2026, 8:12:55 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,initLivegraph
[2/9/2026, 8:12:55 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setThemePreference
[2/9/2026, 8:12:57 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setTabPreviewData
[2/9/2026, 8:12:57 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setLocales
[2/9/2026, 8:12:57 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setEditorType
[2/9/2026, 8:12:57 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,getKeyboardLayout
[2/9/2026, 8:12:57 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,spellingGetLanguages
[2/9/2026, 8:13:01 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,getActiveNSScreens
[2/9/2026, 8:13:01 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setTabColor
[2/9/2026, 8:13:01 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateColorProfile
[2/9/2026, 8:13:01 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setIsLibrary
[2/9/2026, 8:13:01 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setIsTeamTemplate
[2/9/2026, 8:13:01 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setRealtimeToken
[2/9/2026, 8:13:01 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setRealtimeToken
[2/9/2026, 8:13:01 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
[2/9/2026, 8:13:01 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setTabPreviewData
[2/9/2026, 8:13:02 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,getActiveNSScreens
[2/9/2026, 8:13:02 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setEditFilePermissions
[2/9/2026, 8:13:02 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,getActiveNSScreens
[2/9/2026, 8:13:02 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,getKeyboardLayout
[2/9/2026, 8:13:02 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,getActiveNSScreens
[2/9/2026, 8:13:02 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setEditFilePermissions
[2/9/2026, 8:13:34 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setTabColor
[2/9/2026, 8:13:37 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,initLivegraph
[2/9/2026, 8:13:37 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,setThemePreference
[2/9/2026, 8:13:41 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
[2/9/2026, 8:13:46 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
[2/9/2026, 8:14:04 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setThemePreference
[2/9/2026, 8:14:48 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
[2/9/2026, 8:15:18 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
[2/9/2026, 8:15:21 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
[2/9/2026, 8:15:27 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
[2/9/2026, 8:15:29 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
[2/9/2026, 8:15:31 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
[2/9/2026, 8:18:14 PM]:[INFO] - [wm] already signed in?,true
[2/9/2026, 8:18:20 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,initLivegraph
[2/9/2026, 8:18:20 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setThemePreference
[2/9/2026, 8:18:21 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setLocales
[2/9/2026, 8:18:21 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,getKeyboardLayout
[2/9/2026, 8:18:24 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,initLivegraph
[2/9/2026, 8:18:24 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setThemePreference
[2/9/2026, 8:18:24 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setLocales
[2/9/2026, 8:18:24 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,getKeyboardLayout
[2/9/2026, 8:18:24 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,getActiveNSScreens
